date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death,rolling_mean_persistence,rolling_var,spectral_power
1932-09-27,1932-07-30,1.49666742261713e-5,1.67173705167546e-4,0.0129416362748614,0.00656657043986397,5,0.0240165433810829,0.0266048706360551,0.017480449191385587,1.30650417540757e-5,1.6148818250265032e-5
1932-09-28,1932-08-01,1.49641272490397e-5,1.67173612755061e-4,0.012802771946515,0.00656657043986397,4,0.028029160752438,0.0312298537390668,0.01734709237737173,1.3412607301710263e-5,1.8564412678692048e-5
1932-09-29,1932-08-02,1.47746512715772e-5,1.66225763610298e-4,0.0124926782315177,0.00654183471056044,4,0.0258136364428154,0.0289368060006949,0.01720753368905793,1.3781631117809645e-5,2.389077496826321e-5
1932-09-30,1932-08-03,1.59083231741688e-5,1.68652562954723e-4,0.0146223724899416,0.00654183471056044,5,0.0238010258605065,0.0267255003584948,0.017069293273148493,1.3516443849019904e-5,3.163270124817081e-5
1932-10-01,1932-08-04,1.59083231741688e-5,1.68652562954723e-4,0.0146223724899416,0.00654183471056044,5,0.0238010258605065,0.0267255003584948,0.016931052857239056,1.3212255738208093e-5,4.137898453580662e-5
1932-10-03,1932-08-05,6.69117393655301e-6,7.93422668637223e-5,0.0105220238998649,0.00356601260421106,5,0.0238010258605065,0.0259054306404795,0.016797637700241543,1.403097349244191e-5,5.2169320884328645e-5
1932-10-04,1932-08-06,6.9161844167336e-6,8.08621800951459e-5,0.0107295092614775,0.00356601260421106,5,0.023759528788184,0.0259054306404795,0.01666837225047628,1.4762209535387458e-5,6.335819689899411e-5
1932-10-05,1932-08-08,6.9161844167336e-6,8.08621800951459e-5,0.0107295092614775,0.00356601260421106,5,0.023759528788184,0.0259054306404795,0.01653910680071102,1.5459344442612564e-5,7.469329132857462e-5
1932-10-06,1932-08-09,6.9161844167336e-6,8.08621800951459e-5,0.0107295092614775,0.00356601260421106,5,0.023759528788184,0.0259054306404795,0.016409841350945756,1.6122378214117234e-5,8.563546054944575e-5
1932-10-07,1932-08-10,6.9161844167336e-6,8.08621800951459e-5,0.0107295092614775,0.00356601260421106,5,0.023759528788184,0.0259054306404795,0.01634278702911797,1.6665716220409888e-5,9.064701573621623e-5
1932-10-08,1932-08-11,1.43258095037268e-5,1.42078667700446e-4,0.0156351899690417,0.00547152091227779,5,0.0227783926466711,0.0259054306404795,0.016373846321441468,1.6570661537252985e-5,8.897610613436936e-5
1932-10-10,1932-08-12,1.43258095037268e-5,1.42078667700446e-4,0.0156351899690417,0.00547152091227779,5,0.0227783926466711,0.0259054306404795,0.016404905613764967,1.6473638120137622e-5,8.816364832560913e-5
1932-10-11,1932-08-13,1.43258095037268e-5,1.42078667700446e-4,0.0156351899690417,0.00547152091227779,5,0.0227783926466711,0.0259054306404795,0.016503957778562717,1.5807452507194533e-5,8.867568774646042e-5
1932-10-13,1932-08-15,1.28371148208269e-5,1.37765149358947e-4,0.0131937038485579,0.00547152091227779,4,0.023827424299597,0.0271258502617365,0.016389625298345575,1.5899566146244748e-5,8.548778298933856e-5
1932-10-14,1932-08-16,1.28371148208269e-5,1.37765149358947e-4,0.0131937038485579,0.00547152091227779,4,0.023827424299597,0.0271258502617365,0.01623336595584057,1.5648055004161073e-5,7.998143997661928e-5
1932-10-15,1932-08-17,1.38027319304731e-5,1.36316799000839e-4,0.016527270658632,0.00547152091227779,6,0.0266495011301102,0.0294040462398822,0.016143777949537044,1.517663946612223e-5,7.633790654613807e-5
1932-10-17,1932-08-18,6.32335534370985e-6,7.04985074877124e-5,0.0110557497463542,0.00279069972992887,5,0.0285854356911838,0.0307965856404546,0.015944759524987962,1.518194325725242e-5,6.829811621493823e-5
1932-10-18,1932-08-19,4.41860837902757e-6,5.64199236925438e-5,0.00867934359420639,0.00247717224733107,5,0.0240111492342557,0.025747017953097,0.015671301523591568,1.534503410886145e-5,6.083696454671152e-5
1932-10-19,1932-08-20,1.20702276171205e-5,1.42144093475334e-4,0.0123484060928546,0.00600624211868464,5,0.0251090104416227,0.0275786916601937,0.015534831083374445,1.5301279793300692e-5,5.8901825068849556e-5
1932-10-20,1932-08-22,1.25670495235022e-5,1.43873895225796e-4,0.0128313080721015,0.00600624211868464,5,0.0251090104416227,0.0276752720560431,0.015418016944204485,1.5235664209591618e-5,5.815292192135016e-5
