date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death
1930-03-17,1930-01-16,1.20121151370599e-6,2.04909956968653e-5,0.00555473571581602,0.00140819988282272,10,0.00454553596652426,0.00510100953810586
1930-03-18,1930-01-17,1.05782682332254e-6,1.95880292444746e-5,0.0048702589106989,0.00140819988282272,10,0.00465074642371064,0.00513777231478053
1930-03-19,1930-01-18,1.0958591951743e-6,1.97659689327446e-5,0.00516289743648634,0.00140819988282272,11,0.00482294364560279,0.00529229795801064
1930-03-20,1930-01-20,9.71259964384959e-7,1.8951019960963e-5,0.00439586282275903,0.00140819988282272,10,0.00505478011892662,0.00549436640120252
1930-03-21,1930-01-21,9.4810009629622e-7,1.88934088724644e-5,0.00407144782728184,0.00140819988282272,9,0.00493115487152556,0.00538353796344576
1930-03-22,1930-01-22,1.2402146108265e-6,2.2308864171579e-5,0.00458620309096987,0.00140819988282272,8,0.00497700797944335,0.00555028336581459
1930-03-24,1930-01-23,1.18469256110253e-6,2.19766439760732e-5,0.00437369019090749,0.00140819988282272,8,0.00500357209195115,0.00555028336581459
1930-03-25,1930-01-24,9.29639227103534e-7,1.99275002402414e-5,0.00336311817135265,0.00140819988282272,7,0.00518995244055505,0.00567039789360543
1930-03-26,1930-01-25,1.11642774526258e-6,2.12378118722291e-5,0.004227088109596,0.00140819988282272,8,0.00517394976916497,0.00570233578286447
1930-03-27,1930-01-27,1.13315213556929e-6,2.14568408699874e-5,0.00436843134468835,0.00142749161710822,9,0.00527631334756458,0.00576169460808551
1930-03-28,1930-01-28,1.13347663015967e-6,2.14618536670559e-5,0.00439398283629051,0.00142749161710822,10,0.00567000623858597,0.00610940452221503
1930-03-29,1930-01-29,1.38585319813877e-6,2.33748053866738e-5,0.00530890080938171,0.00142749161710822,9,0.00512613670628591,0.00571601457399499
1930-03-31,1930-01-30,1.48519870946806e-6,2.37459347616514e-5,0.00606418310932498,0.00142749161710822,10,0.00511408620942769,0.00572050452036018
1930-04-01,1930-01-31,1.4345059182944e-6,2.34915697519962e-5,0.00584666883148474,0.00142749161710822,10,0.00492291871427878,0.00550758559742726
1930-04-02,1930-02-01,1.45162970144379e-6,2.42179263157344e-5,0.00579364663107359,0.00153559214931842,10,0.0049282209343199,0.00550758559742726
1930-04-03,1930-02-03,1.42429099741717e-6,2.41192519046485e-5,0.00559009776942638,0.00153559214931842,9,0.00490091136002476,0.00552203333440547
1930-04-04,1930-02-04,1.9160331173975e-6,2.85654126660539e-5,0.00698021368347852,0.00153559214931842,10,0.00482489092482485,0.0055229122931727
1930-04-05,1930-02-05,1.68201743089136e-6,2.72047595278379e-5,0.00604512728866751,0.00153559214931842,10,0.00477280968606661,0.00537732241493336
1930-04-07,1930-02-06,3.63992627032663e-6,4.66963087482669e-5,0.0090920141647299,0.00227753951896243,10,0.00474505227045534,0.00565425368692834
1930-04-08,1930-02-07,2.95666417623689e-6,4.24552723662841e-5,0.00786675437228673,0.00227753951896243,11,0.00492822108494508,0.00564338057333478
1930-04-09,1930-02-08,2.95666417623689e-6,4.24552723662841e-5,0.00786675437228673,0.00227753951896243,11,0.00492822108494508,0.00564338057333478
1930-04-10,1930-02-10,2.95664714921137e-6,4.24535823811957e-5,0.00793414272673611,0.00227753951896243,12,0.0047738608763622,0.00543503943692354
1930-04-11,1930-02-11,3.24131563633939e-6,4.50699927503038e-5,0.00840614164888875,0.0023804194678159,12,0.00476122675746949,0.00546173856154355
1930-04-12,1930-02-13,3.22773118045395e-6,4.50582567168852e-5,0.00816209188300018,0.0023804194678159,11,0.00482082428363678,0.0055628326366368
1930-04-14,1930-02-14,3.06753124232952e-6,4.40723311506897e-5,0.00779366654700366,0.0023804194678159,10,0.0049953168538054,0.00577468350850577
1930-04-15,1930-02-15,1.57030480949148e-6,2.80587990029171e-5,0.00503584596546603,0.00180229080294197,8,0.00493368376067216,0.00556316450635542
1930-04-16,1930-02-17,1.64467972443461e-6,2.83118015074095e-5,0.00548312011171198,0.00180229080294197,8,0.00481676888873316,0.00550215890269716
1930-04-17,1930-02-18,1.76222279409177e-6,2.88715399739696e-5,0.00595070688265774,0.00180229080294197,8,0.00504172715116229,0.00578556551149451
1930-04-21,1930-02-19,1.76222279409177e-6,2.88715399739696e-5,0.00595070688265774,0.00180229080294197,8,0.00504172715116229,0.00578556551149451
1930-04-22,1930-02-20,3.56184698995133e-6,5.10631558063761e-5,0.00768987222144626,0.00278411727433423,7,0.00504950882337223,0.00614806199786455
1930-04-23,1930-02-21,4.76057034309536e-6,6.01692849593457e-5,0.00922028898120026,0.00278411727433423,7,0.00483087785769309,0.00614806199786455
1930-04-24,1930-02-24,2.84995536716584e-6,4.20825886679751e-5,0.00705827004238739,0.00233114935515397,7,0.004866299148711,0.00587462344048063
1930-04-25,1930-02-25,1.53230996195176e-6,2.70861892948656e-5,0.00481553293270268,0.00180229080294197,6,0.0045019496874218,0.00530453850953891
1930-04-26,1930-02-26,1.54486094263023e-6,2.71038407337997e-5,0.0050390415228195,0.00180229080294197,7,0.00429077932828196,0.00501064240297046
1930-04-28,1930-02-27,1.54486094263023e-6,2.71038407337997e-5,0.0050390415228195,0.00180229080294197,7,0.00429077932828196,0.00501064240297046
1930-04-29,1930-02-28,1.54523528912929e-6,2.71042396530268e-5,0.00504844892909629,0.00180229080294197,7,0.0043800364116901,0.005101243401561
1930-04-30,1930-03-01,1.54523528912929e-6,2.71042396530268e-5,0.00504844892909629,0.00180229080294197,7,0.0043800364116901,0.005101243401561
1930-05-01,1930-03-03,1.54523528912929e-6,2.71042396530268e-5,0.00504844892909629,0.00180229080294197,7,0.0043800364116901,0.005101243401561
1930-05-02,1930-03-04,1.54523528912929e-6,2.71042396530268e-5,0.00504844892909629,0.00180229080294197,7,0.0043800364116901,0.005101243401561
1930-05-03,1930-03-05,1.54523528912929e-6,2.71042396530268e-5,0.00504844892909629,0.00180229080294197,7,0.0043800364116901,0.005101243401561
